"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Graph","2","0","Verify if user able to see the output in console","0"
"0","","0","Stack","1","0","Verify if user able to direct to ""Implementation Page""","0"
"0","","0","Stack","3","0","Verify if user able to see the output in console","0"
"0","","0","Register","1","0","Verify if user able to register with valid username and other fields empty","0"
"0","","0","Graph","1","0","Verify if user to see the error msg in pop up window","0"
"0","","0","Register","1","0","Verify if user able to register with different passwords in password and password confirmation fields","0"
"0","","0","Stack","3","0","Verify if user able to redirect to a page having an tryEditor with a Run button to test","0"
"0","","0","Stack","2","0","Verify if user able to see the error msg in pop up window","0"
"0","","0","Graph","1","0","Verify if user able to direct to ""Graph Representations"" page","0"
"0","","1","Register","0","0","Verify if user able to register with numeric data in password","0"
"0","","1","Register","0","0","Verify if user able to register with valid data","0"
"0","","1","Register","0","0","Verify if user able to register with special characters in username","0"
"0","","0","Register","1","0","Verify if user able to register with valid username and valid password but other field empty","0"
"0","","0","Stack","1","0","Verify if user able to direct to ""Operations in Stack"" Page","0"
"0","","0","Graph","1","0","Verify if user able to direct to ""Graph"" Page","0"
"0","","0","Graph","2","0","Verify if user able to redirect to a page having an tryEditor with a Run button to test","0"
"0","","0","Graph","1","0","Verify if user able to see the error msg in pop up window","0"
"0","","0","Stack","1","0","Verify if user to see the error msg in pop up window","0"
"0","","0","Graph","1","0","The user is able to click and navigate to ""Practice Questions""","0"
"0","","0","Register","1","0","Verify if user able to register with all empty fields","0"
"0","","0","Stack","1","0","The user is able to click and navigate to ""Practice Questions""","0"
"0","","1","Register","0","0","Verify if user able to register with password less than 8","0"
"0","","0","Stack","1","0","Verify if user able to direct to ""Applications Page""","0"
