"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","SignIn Page","1","0","Verify if user able to signIn invalid username and valid ""password""","0"
"0","","0","Data Structures- Introduction","1","0","Verify if user able to see the error msg in pop up window","0"
"0","","0","Array","36","0","Verify if user able to see the output in console","0"
"0","","0","LinkedList","7","0","Verify if user able to redirect to a page having an tryEditor with a Run button to test","0"
"0","","0","Array","16","0","Verify if user to see the error msg in console","0"
"0","","0","Tree","1","0","Verify if user able to direct to ""Implementation Of BST""","0"
"0","","0","Tree","13","0","Verify if user able to see the error msg in pop up window","0"
"0","","0","Tree","1","0","Verify if user able to direct ""Overview of Trees"" page","0"
"0","","0","Tree","1","0","The user is able to click and navigate to ""Practice Questions""","0"
"0","","0","Array","4","0","Verify if user able to select ""Squares of  a Sorted Array"" in Array Practice page  and redirect to  tryEditor page  with a Run button to test","0"
"0","","0","Stack","3","0","Verify if user able to see the output in console","0"
"0","","0","Tree","13","0","Verify if user able to to redirect to a page having an tryEditor with a Run button to test","0"
"0","","0","SignIn Page","1","0","Verify if user able to signIn valid username and invalid password","0"
"0","","0","Graph","2","0","Verify if user able to redirect to a page having an tryEditor with a Run button to test","0"
"0","","0","Graph","2","0","Verify if user able to see the output in console","0"
"0","","0","Tree","13","0","Verify if user able to see the output in console","0"
"0","","0","Tree","1","0","Verify if user able to direct to ""Tree Traversals""","0"
"0","","0","LinkedList","7","0","Verify if user able to see the output in console","0"
"0","","0","Array","4","0","Verify if user able to redirect to Practice page","0"
"0","","0","SignIn Page","1","0","Verify if user able to signIn with both username and password blank","0"
"0","","0","Array","4","0","Verify if user able to redirect to a page having an tryEditor with a Run button to test","0"
"0","","0","LinkedList","7","0","Verify if user able to see the error msg in pop up window","0"
"0","","0","Queue","4","0","Verify if user able to see the error msg in pop up window","0"
"0","","0","Queue","1","0","The user is able to click and navigate to ""Practice Questions""","0"
"0","","2","Register","0","0","Verify if user able to register with password less than 8","0"
"0","","2","Register","0","0","Verify if user able to register with special characters in username","0"
"0","","0","Graph","1","0","Verify if user able to see the error msg in pop up window","0"
"0","","0","Stack","2","0","Verify if user able to see the error msg in pop up window","0"
"0","","0","Tree","1","0","Verify if user able to direct to ""Applications of Binary trees""","0"
"0","","0","LinkedList","1","0","Verify if user able to direct to ""Deletion"" Page","0"
"0","","0","Array","19","0","Verify if user to see the error msg in pop up window","0"
"0","","0","LinkedList","1","0","Verify if user able to direct to ""Types of Linked List"" Page","0"
"0","","0","Array","1","0","Verify if user able to see the error msg in pop up window","0"
"0","","0","Tree","1","0","Verify if user able to direct to ""Terminologies""","0"
"0","","0","Array","4","0","Verify if user able to select ""Search the Array""in Array Practice page and redirect to  tryEditor page  with a Run button to test","0"
"0","","0","Array","1","0","Verify if user able to direct to ""Arrays in Python"" Page","0"
"0","","0","Array","4","0","Verify if user able to select ""Max Consecutive Ones""in Array Practice page  and redirect to  tryEditor page  with a Run button to test","0"
"0","","0","Stack","3","0","Verify if user able to redirect to a page having an tryEditor with a Run button to test","0"
"0","","0","Register","2","0","Verify if user able to register with valid username and valid password but other field empty","0"
"0","","0","SignIn Page","1","0","Verify if user able to signIn with invalid username and invalid password","0"
"0","","0","Queue","4","0","Verify if user able to to redirect to a page having an tryEditor with a Run button to test","0"
"0","","0","Tree","1","0","Verify if user able to direct to ""Binary Trees""","0"
"0","","0","Array","4","0","Verify if user able to select ""Find Numbers with Even Number of Digits"" in Array Practice page  and redirect to  tryEditor page  with a Run button to test","0"
"0","","0","Graph","1","0","Verify if user to see the error msg in pop up window","0"
"0","","0","Queue","1","0","Verify if user able to direct to ""Implementation using collections.deque""","0"
"0","","0","Graph","1","0","Verify if user able to direct to ""Graph Representations"" page","0"
"0","","0","Queue","1","0","Verify if user able to direct to ""Implementation using array""","0"
"0","","2","Register","0","0","Verify if user able to register with valid data","0"
"0","","0","Tree","1","0","Verify if user able to direct to ""Types of Trees""","0"
"0","","0","Register","1","0","Verify if user able to register with all empty fields","0"
"0","","0","Queue","1","0","Verify if user able to direct ""Implementation of Queue in Python"" page","0"
"0","","0","SignIn Page","1","0","Verify if user able to signIn with only password blank","0"
"0","","0","Tree","1","0","Verify if user able to direct to ""Implementation of Binary Trees""","0"
"0","","0","LinkedList","1","0","Verify if user able to direct to ""Insertion"" Page","0"
"0","","0","Stack","1","0","Verify if user able to direct to ""Operations in Stack"" Page","0"
"0","","2","Register","0","0","Verify if user able to register with numeric data in password","0"
"0","","1","LinkedList","0","0","The user is able to click and navigate to ""Practice Questions""","0"
"0","","0","Data Structures- Introduction","1","0","The user is able to click and navigate to ""Practice Questions""","0"
"0","","0","Graph","1","0","Verify if user able to direct to ""Graph"" Page","0"
"0","","0","Queue","4","0","Verify if user able to see the output in console","0"
"0","","0","Tree","1","0","Verify if user able to direct to ""Implementation in Python""","0"
"0","","0","LinkedList","1","0","Verify if user able to direct to ""Implement Linked List in Python"" Page","0"
"0","","0","Register","2","0","Verify if user able to register with valid username and other fields empty","0"
"0","","0","Queue","1","0","Verify if user able to direct to ""Queue Operations""","0"
"0","","0","SignIn Page","1","0","Verify if user able to signIn with only username blank","0"
"0","","0","Stack","1","0","Verify if user to see the error msg in pop up window","0"
"0","","0","Array","1","0","Verify if user able to direct to ""Applications of Array"" page","0"
"0","","0","LinkedList","1","0","Verify if user able to direct to ""Traversal"" Page","0"
"0","","0","SignIn Page","1","0","Verify if user able to signIn valid username and valid password","0"
"0","","0","Homepage","1","0","Verify if user able to click getstarted to select datastructure options in homepage without signin","0"
"0","","0","Tree","1","0","Verify if user able to direct to ""Binary Search Trees""","0"
"0","","0","Tree","1","0","Verify if user able to direct to ""Traversals-Illustration""","0"
"0","","0","Data Structures- Introduction","1","0","Verify if user able to direct to ""Time Complexity"" Page","0"
"0","","0","Register","1","0","Verify if user able to register with different passwords in password and password confirmation fields","0"
"0","","0","Array","1","0","Verify if user able to direct to ""Basic Operations in Lists"" page","0"
"0","","0","Graph","1","0","The user is able to click and navigate to ""Practice Questions""","0"
"0","","0","Array","1","0","Verify if user able to direct to ""Arrays Using List"" page","0"
"0","","0","Data Structures- Introduction","1","0","Verify if user able to redirect to a page having an tryEditor with a Run button to test","0"
"0","","0","Signout","1","0","Verify if user able to ""signout""","0"
"0","","0","Homepage","1","0","Verify if user is on Home page and click on sign in","0"
"0","","0","LinkedList","1","0","Verify if user able to direct to ""Creating Linked LIst"" Page","0"
"0","","0","Stack","1","0","The user is able to click and navigate to ""Practice Questions""","0"
"0","","0","Homepage","1","0","Verify if user able to select datastructure  dropdown in homepage without signin","0"
"0","","0","LinkedList","1","0","Verify if user able to direct to ""Introduction"" Page","0"
